# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2025-12-19 18:49:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 1058755528 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0-172-g8d78669
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.885972
# Diagonal elements of inverse mass matrix:
# 0.492229
-7.0086349,1,0.88597205,1,1,0,7.2446972,0.16772288
-6.9030337,1,0.88597205,1,1,0,6.9973238,0.18505205
-6.9030337,0.81972534,0.88597205,1,3,0,8.5389906,0.18505205
-6.838362,1,0.88597205,1,1,0,6.8955785,0.19953422
-6.8408227,0.96567408,0.88597205,2,7,0,7.0925823,0.30624043
-6.9547375,0.97178895,0.88597205,1,1,0,6.9600275,0.33546825
-6.8208509,1,0.88597205,1,1,0,6.9227683,0.29959882
-7.6926,0.87127303,0.88597205,2,7,0,7.700717,0.10873191
-7.5236819,1,0.88597205,1,1,0,7.7377467,0.11916642
-6.918349,0.98330909,0.88597205,1,3,0,7.4750403,0.18217055
-6.770222,0.9428086,0.88597205,2,3,0,7.4435084,0.22429739
-8.1253005,0.8550539,0.88597205,2,3,0,8.3668598,0.48341698
-6.9286032,0.8738684,0.88597205,1,3,0,9.0696284,0.18032615
-6.8317895,1,0.88597205,1,1,0,6.9119377,0.20130445
-9.7204059,0.74682598,0.88597205,2,3,0,10.211723,0.59662551
-7.1184345,0.80986914,0.88597205,2,7,0,11.658188,0.15389793
-6.7778554,0.9739586,0.88597205,1,3,0,7.4008508,0.28132876
-7.4360167,0.79276356,0.88597205,1,3,0,8.0998315,0.12529892
-7.4743165,0.99519086,0.88597205,1,1,0,7.5687557,0.12255068
-7.2467028,0.88217498,0.88597205,1,3,0,9.0772899,0.38616052
-6.8228951,0.93968183,0.88597205,1,3,0,7.6346668,0.20382844
-6.7684754,0.99972189,0.88597205,2,7,0,6.8134774,0.27583113
-6.7588928,0.9654651,0.88597205,2,3,0,7.0104662,0.23187741
-7.0729996,0.93798487,0.88597205,1,3,0,7.1576136,0.15924861
-7.0054257,1,0.88597205,1,1,0,7.0895199,0.16817836
-7.0054257,0.60166382,0.88597205,1,3,0,10.809641,0.16817836
-6.9108098,0.94623155,0.88597205,1,3,0,7.5353963,0.3253979
-6.7568773,1,0.88597205,2,3,0,6.8827203,0.23361569
-6.8731817,0.97882296,0.88597205,1,3,0,6.8911859,0.1911905
-7.3905636,0.93174097,0.88597205,1,3,0,7.4367505,0.12871311
-7.2827375,0.97984591,0.88597205,2,3,0,7.8347692,0.13758243
-7.4813326,0.85170393,0.88597205,2,3,0,9.1787791,0.12205918
-9.4369044,0.88279142,0.88597205,2,7,0,9.4563768,0.57970566
-9.4459628,0.99744551,0.88597205,1,1,0,10.200013,0.58026292
-8.2137212,1,0.88597205,2,7,0,9.5745417,0.084261088
-6.7935231,1,0.88597205,2,3,0,8.0162719,0.21361339
-6.827025,0.99359879,0.88597205,1,1,0,6.8294384,0.20263685
-7.134743,0.97242659,0.88597205,2,7,0,7.1350503,0.36897104
-7.8349462,0.82309675,0.88597205,1,1,0,7.8527813,0.45599042
-7.4356713,1,0.88597205,1,1,0,7.8351689,0.41152841
-7.13243,1,0.88597205,1,1,0,7.4009666,0.36859329
-6.8029007,0.95395003,0.88597205,1,3,0,7.4248162,0.21018836
-7.2402662,0.89185879,0.88597205,1,3,0,7.621651,0.38522394
-6.7650305,1,0.88597205,1,3,0,7.1765965,0.27351297
-6.9405944,0.93405179,0.88597205,2,3,0,7.1853928,0.17824692
-7.4381542,0.87189465,0.88597205,1,3,0,8.2595892,0.41183836
-7.3810121,1,0.88597205,2,3,0,7.5762548,0.40456709
